dt,AverageTemperature,City
1980-01-01,7.258,Rome
1980-01-01,5.379,Tokyo
1980-01-01,0.098,New York
1980-01-01,23.095,Sydney
1980-01-01,-8.878,Moscow
1980-01-01,23.969,Mumbai
1980-02-01,8.634,Rome
1980-02-01,6.532,Tokyo
1980-02-01,1.229,New York
1980-02-01,22.343,Sydney
1980-02-01,-8.485,Moscow
1980-02-01,25.417,Mumbai
1980-03-01,10.901,Rome
1980-03-01,9.459,Tokyo
1980-03-01,,New York
1980-03-01,21.57,Sydney
1980-03-01,-2.824,Moscow
1980-03-01,26.552,Mumbai
1980-04-01,14.294,Rome
1980-04-01,14.956,Tokyo
1980-04-01,11.815,New York
1980-04-01,19.116,Sydney
1980-04-01,6.123,Moscow
1980-04-01,,Mumbai
1980-05-01,,Rome
1980-05-01,19.252,Tokyo
1980-05-01,17.288,New York
1980-05-01,15.188,Sydney
1980-05-01,13.43,Moscow
1980-05-01,31.361,Mumbai
1980-06-01,,Rome
1980-06-01,23.303,Tokyo
1980-06-01,22.18,New York
1980-06-01,13.089,Sydney
1980-06-01,17.94,Moscow
1980-06-01,29.025,Mumbai
1980-07-01,26.093,Rome
1980-07-01,26.689,Tokyo
1980-07-01,25.515,New York
1980-07-01,12.046,Sydney
1980-07-01,20.201,Moscow
1980-07-01,27.771,Mumbai
1980-08-01,25.885,Rome
1980-08-01,28.377,Tokyo
1980-08-01,25.022,New York
1980-08-01,13.209,Sydney
1980-08-01,,Moscow
1980-08-01,26.651,Mumbai
1980-09-01,22.43,Rome
1980-09-01,24.109,Tokyo
1980-09-01,20.396,New York
1980-09-01,15.746,Sydney
1980-09-01,12.002,Moscow
1980-09-01,27.553,Mumbai
1980-10-01,16.54,Rome
1980-10-01,18.061,Tokyo
1980-10-01,13.593,New York
1980-10-01,18.3,Sydney
1980-10-01,5.052,Moscow
1980-10-01,28.485,Mumbai
1980-11-01,12.094,Rome
1980-11-01,12.81,Tokyo
1980-11-01,7.563,New York
1980-11-01,20.309,Sydney
1980-11-01,-2.199,Moscow
1980-11-01,26.875,Mumbai
1980-12-01,7.754,Rome
1980-12-01,6.497,Tokyo
1980-12-01,1.76,New York
1980-12-01,21.643,Sydney
1980-12-01,-6.97,Moscow
1980-12-01,24.634,Mumbai
1981-01-01,6.486,Rome
1981-01-01,5.418,Tokyo
1981-01-01,0.493,New York
1981-01-01,22.96,Sydney
1981-01-01,-9.347,Moscow
1981-01-01,23.997,Mumbai
1981-02-01,8.601,Rome
1981-02-01,,Tokyo
1981-02-01,1.082,New York
1981-02-01,22.075,Sydney
1981-02-01,-8.276,Moscow
1981-02-01,24.885,Mumbai
1981-03-01,10.853,Rome
1981-03-01,9.489,Tokyo
1981-03-01,5.863,New York
1981-03-01,20.704,Sydney
1981-03-01,,Moscow
1981-03-01,27.075,Mumbai
1981-04-01,15.185,Rome
1981-04-01,14.554,Tokyo
1981-04-01,12.195,New York
1981-04-01,18.274,Sydney
1981-04-01,6.699,Moscow
1981-04-01,29.667,Mumbai
1981-05-01,19.425,Rome
1981-05-01,19.437,Tokyo
1981-05-01,17.654,New York
1981-05-01,14.566,Sydney
1981-05-01,13.782,Moscow
1981-05-01,31.157,Mumbai
1981-06-01,23.902,Rome
1981-06-01,23.142,Tokyo
1981-06-01,21.99,New York
1981-06-01,13.077,Sydney
1981-06-01,17.596,Moscow
1981-06-01,,Mumbai
1981-07-01,26.064,Rome
1981-07-01,27.128,Tokyo
1981-07-01,25.165,New York
1981-07-01,12.334,Sydney
1981-07-01,19.85,Moscow
1981-07-01,27.12,Mumbai
1981-08-01,25.735,Rome
1981-08-01,,Tokyo
1981-08-01,24.766,New York
1981-08-01,13.121,Sydney
1981-08-01,18.239,Moscow
1981-08-01,26.643,Mumbai
1981-09-01,22.383,Rome
1981-09-01,24.169,Tokyo
1981-09-01,20.597,New York
1981-09-01,15.38,Sydney
1981-09-01,12.146,Moscow
1981-09-01,28.209,Mumbai
1981-10-01,17.136,Rome
1981-10-01,18.19,Tokyo
1981-10-01,13.918,New York
1981-10-01,18.619,Sydney
1981-10-01,5.34,Moscow
1981-10-01,29.242,Mumbai
1981-11-01,11.404,Rome
1981-11-01,,Tokyo
1981-11-01,7.778,New York
1981-11-01,19.978,Sydney
1981-11-01,-2.867,Moscow
1981-11-01,27.132,Mumbai
1981-12-01,,Rome
1981-12-01,7.159,Tokyo
1981-12-01,2.192,New York
1981-12-01,21.615,Sydney
1981-12-01,-7.201,Moscow
1981-12-01,25.166,Mumbai
1982-01-01,6.672,Rome
1982-01-01,5.048,Tokyo
1982-01-01,,New York
1982-01-01,23.016,Sydney
1982-01-01,-8.78,Moscow
1982-01-01,24.735,Mumbai
1982-02-01,8.486,Rome
1982-02-01,6.078,Tokyo
1982-02-01,,New York
1982-02-01,22.324,Sydney
1982-02-01,-8.233,Moscow
1982-02-01,24.868,Mumbai
1982-03-01,11.16,Rome
1982-03-01,8.989,Tokyo
1982-03-01,,New York
1982-03-01,21.093,Sydney
1982-03-01,-3.06,Moscow
1982-03-01,27.442,Mumbai
1982-04-01,13.913,Rome
1982-04-01,14.69,Tokyo
1982-04-01,12.13,New York
1982-04-01,18.763,Sydney
1982-04-01,6.428,Moscow
1982-04-01,29.866,Mumbai
1982-05-01,19.048,Rome
1982-05-01,20.088,Tokyo
1982-05-01,17.408,New York
1982-05-01,15.24,Sydney
1982-05-01,14.189,Moscow
1982-05-01,,Mumbai
1982-06-01,23.213,Rome
1982-06-01,23.282,Tokyo
1982-06-01,23.124,New York
1982-06-01,12.873,Sydney
1982-06-01,18.219,Moscow
1982-06-01,28.945,Mumbai
1982-07-01,26.208,Rome
1982-07-01,27.113,Tokyo
1982-07-01,25.204,New York
1982-07-01,11.67,Sydney
1982-07-01,19.765,Moscow
1982-07-01,27.219,Mumbai
1982-08-01,25.771,Rome
1982-08-01,28.208,Tokyo
1982-08-01,,New York
1982-08-01,13.304,Sydney
1982-08-01,18.332,Moscow
1982-08-01,27.298,Mumbai
1982-09-01,,Rome
1982-09-01,,Tokyo
1982-09-01,,New York
1982-09-01,16.068,Sydney
1982-09-01,12.407,Moscow
1982-09-01,27.818,Mumbai
1982-10-01,17.323,Rome
1982-10-01,18.338,Tokyo
1982-10-01,14.011,New York
1982-10-01,18.309,Sydney
1982-10-01,5.159,Moscow
1982-10-01,,Mumbai
1982-11-01,11.387,Rome
1982-11-01,11.972,Tokyo
1982-11-01,7.809,New York
1982-11-01,20.395,Sydney
1982-11-01,-1.885,Moscow
1982-11-01,27.155,Mumbai
1982-12-01,8.138,Rome
1982-12-01,,Tokyo
1982-12-01,2.216,New York
1982-12-01,21.843,Sydney
1982-12-01,-8.122,Moscow
1982-12-01,25.295,Mumbai
1983-01-01,6.885,Rome
1983-01-01,5.116,Tokyo
1983-01-01,-0.385,New York
1983-01-01,23.036,Sydney
1983-01-01,-9.245,Moscow
1983-01-01,24.443,Mumbai
1983-02-01,8.252,Rome
1983-02-01,5.893,Tokyo
1983-02-01,1.364,New York
1983-02-01,,Sydney
1983-02-01,-8.074,Moscow
1983-02-01,24.601,Mumbai
1983-03-01,11.155,Rome
1983-03-01,9.142,Tokyo
1983-03-01,6.254,New York
1983-03-01,21.236,Sydney
1983-03-01,-2.561,Moscow
1983-03-01,27.397,Mumbai
1983-04-01,,Rome
1983-04-01,14.511,Tokyo
1983-04-01,12.045,New York
