dt,LandAverageTemperature
1990-01-01,2.088
1990-02-01,2.786
1990-03-01,5.191
1990-04-01,8.956
1990-05-01,12.39
1990-06-01,14.98
1990-07-01,16.227
1990-08-01,
1990-09-01,12.583
1990-10-01,8.709
1990-11-01,4.919
1990-12-01,2.593
1991-01-01,2.17
1991-02-01,2.826
1991-03-01,5.158
1991-04-01,8.836
1991-05-01,12.437
1991-06-01,15.222
1991-07-01,16.22
1991-08-01,15.808
1991-09-01,12.66
1991-10-01,8.601
1991-11-01,4.892
1991-12-01,2.556
1992-01-01,2.204
1992-02-01,2.815
1992-03-01,5.264
1992-04-01,8.954
1992-05-01,12.497
1992-06-01,15.045
1992-07-01,16.279
1992-08-01,15.713
1992-09-01,12.424
1992-10-01,8.685
1992-11-01,4.861
1992-12-01,2.604
1993-01-01,2.204
1993-02-01,2.753
1993-03-01,5.319
1993-04-01,8.871
1993-05-01,12.444
1993-06-01,15.127
1993-07-01,16.26
1993-08-01,15.916
1993-09-01,12.702
1993-10-01,8.779
1993-11-01,5.003
1993-12-01,2.589
1994-01-01,2.118
1994-02-01,2.811
1994-03-01,5.23
1994-04-01,9.008
1994-05-01,12.448
1994-06-01,15.355
1994-07-01,16.202
1994-08-01,15.78
1994-09-01,12.729
1994-10-01,8.882
1994-11-01,5.008
1994-12-01,2.635
1995-01-01,2.299
1995-02-01,2.877
1995-03-01,5.171
1995-04-01,8.942
1995-05-01,12.561
1995-06-01,15.07
1995-07-01,16.288
1995-08-01,15.905
1995-09-01,12.66
1995-10-01,8.843
1995-11-01,5.031
1995-12-01,2.771
1996-01-01,2.252
1996-02-01,2.853
1996-03-01,5.257
1996-04-01,8.935
1996-05-01,12.578
1996-06-01,15.157
1996-07-01,16.296
1996-08-01,15.962
1996-09-01,12.644
1996-10-01,8.779
1996-11-01,4.855
1996-12-01,2.515
1997-01-01,2.174
1997-02-01,2.952
1997-03-01,5.414
1997-04-01,9.018
1997-05-01,12.54
1997-06-01,15.232
1997-07-01,16.406
1997-08-01,15.99
1997-09-01,12.741
1997-10-01,8.738
1997-11-01,5.091
1997-12-01,2.649
1998-01-01,2.334
1998-02-01,2.934
1998-03-01,5.492
1998-04-01,9.007
1998-05-01,12.663
1998-06-01,15.245
1998-07-01,16.295
1998-08-01,15.846
1998-09-01,12.724
1998-10-01,8.95
1998-11-01,5.101
1998-12-01,2.691
1999-01-01,2.063
1999-02-01,3.01
1999-03-01,5.397
1999-04-01,9.009
1999-05-01,12.503
1999-06-01,15.253
1999-07-01,16.491
1999-08-01,15.869
1999-09-01,12.719
1999-10-01,8.962
1999-11-01,5.017
1999-12-01,2.624
2000-01-01,2.278
2000-02-01,2.871
2000-03-01,5.388
2000-04-01,8.973
2000-05-01,12.641
2000-06-01,15.27
2000-07-01,16.553
2000-08-01,15.992
2000-09-01,12.879
2000-10-01,8.766
2000-11-01,5.06
2000-12-01,2.696
2001-01-01,2.427
2001-02-01,2.853
2001-03-01,5.466
2001-04-01,9.134
2001-05-01,12.71
2001-06-01,15.344
2001-07-01,16.391
2001-08-01,15.945
2001-09-01,12.687
2001-10-01,8.903
2001-11-01,5.072
2001-12-01,2.849
2002-01-01,2.255
2002-02-01,3.03
2002-03-01,5.278
2002-04-01,9.072
2002-05-01,12.625
2002-06-01,15.37
2002-07-01,16.52
2002-08-01,16.0
2002-09-01,12.715
2002-10-01,8.941
2002-11-01,5.145
2002-12-01,2.743
2003-01-01,2.265
2003-02-01,3.112
2003-03-01,5.428
2003-04-01,9.177
2003-05-01,12.723
2003-06-01,15.37
2003-07-01,16.444
2003-08-01,16.193
2003-09-01,12.84
2003-10-01,8.897
2003-11-01,5.13
2003-12-01,2.84
2004-01-01,2.347
2004-02-01,3.08
2004-03-01,5.534
2004-04-01,9.097
2004-05-01,12.5
2004-06-01,15.362
2004-07-01,16.456
2004-08-01,15.989
2004-09-01,12.908
2004-10-01,8.987
2004-11-01,5.058
2004-12-01,2.779
2005-01-01,2.339
2005-02-01,2.936
2005-03-01,5.491
2005-04-01,9.151
2005-05-01,12.595
2005-06-01,15.397
2005-07-01,16.494
2005-08-01,16.009
2005-09-01,12.887
2005-10-01,9.036
2005-11-01,5.098
2005-12-01,2.785
2006-01-01,2.372
2006-02-01,3.253
2006-03-01,5.323
2006-04-01,9.228
2006-05-01,12.648
2006-06-01,15.364
2006-07-01,16.624
2006-08-01,16.071
2006-09-01,13.051
2006-10-01,8.937
2006-11-01,5.2
2006-12-01,2.733
2007-01-01,2.334
2007-02-01,3.094
2007-03-01,5.466
2007-04-01,9.205
2007-05-01,12.521
2007-06-01,15.549
2007-07-01,16.476
2007-08-01,16.228
2007-09-01,12.808
2007-10-01,9.012
2007-11-01,5.442
2007-12-01,2.719
2008-01-01,2.286
2008-02-01,3.062
2008-03-01,5.544
2008-04-01,9.261
2008-05-01,12.809
2008-06-01,15.385
2008-07-01,16.378
2008-08-01,16.071
2008-09-01,13.005
2008-10-01,9.043
2008-11-01,5.049
2008-12-01,2.803
2009-01-01,2.535
2009-02-01,3.293
2009-03-01,5.568
2009-04-01,9.248
2009-05-01,12.624
2009-06-01,15.356
2009-07-01,16.527
2009-08-01,16.163
2009-09-01,12.969
2009-10-01,8.985
2009-11-01,5.131
2009-12-01,2.761
2010-01-01,2.347
2010-02-01,3.191
2010-03-01,5.355
2010-04-01,9.213
2010-05-01,12.776
2010-06-01,15.562
2010-07-01,16.546
2010-08-01,16.22
2010-09-01,12.908
2010-10-01,8.98
2010-11-01,5.186
2010-12-01,2.962
