dt,LandAverageTemperature,LandAverageTemperatureUncertainty
01/01/1750,2.083,1.619
01/02/1750,2.779,1.734
01/03/1750,,
01/04/1750,8.868,1.605
01/05/1750,12.479,1.712
01/06/1750,15.113,1.605
01/07/1750,16.205,1.751
01/08/1750,15.787,1.635
01/09/1750,,
01/10/1750,8.671,1.762
01/11/1750,4.968,1.684
01/12/1750,2.318,1.645
01/01/1751,2.18,1.755
01/02/1751,,
01/03/1751,5.214,1.56
01/04/1751,8.999,1.565
01/05/1751,12.325,1.633
01/06/1751,15.014,1.607
01/07/1751,16.102,1.583
01/08/1751,15.669,1.581
01/09/1751,12.772,1.679
01/10/1751,8.689,1.751
01/11/1751,4.905,1.619
01/12/1751,2.531,1.593
01/01/1752,2.176,1.694
01/02/1752,2.728,1.759
01/03/1752,5.193,1.67
01/04/1752,8.991,1.676
01/05/1752,12.333,1.779
01/06/1752,,
01/07/1752,16.331,1.728
01/08/1752,15.908,1.546
01/09/1752,12.748,1.773
01/10/1752,8.698,1.533
01/11/1752,4.839,1.597
01/12/1752,2.366,1.558
01/01/1753,1.817,1.739
01/02/1753,2.887,1.645
01/03/1753,5.409,1.595
01/04/1753,8.775,1.672
01/05/1753,12.414,1.715
01/06/1753,14.953,1.52
01/07/1753,16.476,1.74
01/08/1753,,
01/09/1753,12.812,1.541
01/10/1753,8.5,1.537
01/11/1753,4.908,1.639
01/12/1753,2.439,1.586
01/01/1754,2.03,1.645
01/02/1754,2.841,1.56
01/03/1754,5.377,1.62
01/04/1754,8.898,1.54
01/05/1754,12.319,1.568
01/06/1754,15.239,1.528
01/07/1754,,
01/08/1754,16.061,1.57
01/09/1754,12.617,1.744
01/10/1754,8.765,1.628
01/11/1754,4.931,1.534
01/12/1754,2.43,1.616
01/01/1755,,
01/02/1755,2.626,1.601
01/03/1755,5.263,1.548
01/04/1755,8.835,1.605
01/05/1755,12.404,1.611
01/06/1755,,
01/07/1755,16.432,1.742
01/08/1755,15.803,1.712
01/09/1755,,
01/10/1755,8.712,1.595
01/11/1755,4.884,1.614
01/12/1755,2.713,1.739
01/01/1756,1.926,1.529
01/02/1756,2.74,1.732
01/03/1756,5.013,1.504
01/04/1756,8.853,1.616
01/05/1756,12.573,1.51
01/06/1756,15.36,1.639
01/07/1756,16.211,1.713
01/08/1756,15.866,1.639
01/09/1756,12.466,1.621
01/10/1756,8.782,1.541
01/11/1756,4.914,1.658
01/12/1756,2.625,1.569
01/01/1757,2.226,1.73
01/02/1757,2.865,1.498
01/03/1757,5.18,1.7
01/04/1757,9.184,1.572
01/05/1757,12.5,1.633
01/06/1757,,
01/07/1757,16.248,1.646
01/08/1757,,
01/09/1757,12.725,1.548
01/10/1757,8.801,1.659
01/11/1757,4.844,1.602
01/12/1757,,
01/01/1758,2.022,1.471
01/02/1758,2.852,1.629
01/03/1758,,
01/04/1758,8.756,1.489
01/05/1758,12.532,1.679
01/06/1758,,
01/07/1758,16.115,1.669
01/08/1758,16.047,1.695
01/09/1758,12.608,1.665
01/10/1758,8.763,1.572
01/11/1758,5.064,1.686
01/12/1758,2.736,1.673
01/01/1759,2.302,1.543
01/02/1759,2.839,1.661
01/03/1759,,
01/04/1759,8.821,1.678
01/05/1759,12.447,1.575
01/06/1759,15.326,1.659
01/07/1759,16.286,1.542
01/08/1759,15.82,1.702
01/09/1759,12.532,1.705
01/10/1759,,
01/11/1759,4.983,1.701
01/12/1759,2.495,1.487
01/01/1760,2.096,1.602
01/02/1760,2.707,1.546
01/03/1760,5.204,1.45
01/04/1760,9.098,1.585
01/05/1760,,
01/06/1760,14.931,1.616
01/07/1760,16.119,1.63
01/08/1760,16.024,1.527
01/09/1760,12.528,1.482
01/10/1760,8.768,1.685
01/11/1760,5.046,1.525
01/12/1760,2.415,1.45
01/01/1761,1.968,1.604
01/02/1761,2.879,1.551
01/03/1761,4.957,1.639
01/04/1761,8.955,1.461
01/05/1761,12.339,1.645
01/06/1761,15.031,1.608
01/07/1761,16.22,1.501
01/08/1761,,
01/09/1761,12.466,1.489
01/10/1761,8.798,1.564
01/11/1761,4.904,1.628
01/12/1761,2.501,1.467
01/01/1762,,
01/02/1762,3.083,1.492
01/03/1762,5.005,1.597
01/04/1762,8.971,1.579
01/05/1762,12.541,1.61
01/06/1762,15.008,1.638
01/07/1762,16.371,1.549
01/08/1762,15.693,1.492
01/09/1762,12.627,1.587
01/10/1762,8.568,1.449
01/11/1762,,
01/12/1762,2.617,1.488
01/01/1763,2.102,1.522
01/02/1763,2.772,1.524
01/03/1763,4.986,1.566
01/04/1763,9.039,1.634
01/05/1763,12.404,1.508
01/06/1763,15.123,1.633
01/07/1763,16.04,1.557
01/08/1763,15.911,1.475
01/09/1763,12.587,1.504
01/10/1763,8.725,1.521
01/11/1763,,
01/12/1763,2.527,1.519
01/01/1764,2.285,1.444
01/02/1764,2.845,1.423
01/03/1764,5.241,1.6
01/04/1764,9.019,1.598
01/05/1764,12.415,1.415
01/06/1764,15.165,1.66
01/07/1764,16.093,1.573
01/08/1764,15.646,1.647
01/09/1764,12.684,1.442
01/10/1764,8.724,1.551
01/11/1764,4.852,1.452
01/12/1764,,
01/01/1765,,
01/02/1765,2.536,1.478
01/03/1765,,
01/04/1765,8.886,1.573
01/05/1765,12.582,1.613
01/06/1765,15.24,1.43
01/07/1765,16.239,1.507
01/08/1765,15.708,1.526
01/09/1765,12.748,1.426
01/10/1765,8.536,1.559
01/11/1765,4.883,1.583
01/12/1765,2.393,1.468
01/01/1766,1.984,1.499
01/02/1766,2.786,1.457
01/03/1766,5.243,1.61
01/04/1766,8.874,1.506
01/05/1766,12.397,1.603
01/06/1766,15.138,1.443
01/07/1766,16.085,1.565
01/08/1766,16.027,1.393
01/09/1766,12.783,1.512
01/10/1766,8.816,1.563
01/11/1766,4.706,1.413
01/12/1766,2.531,1.563
01/01/1767,2.001,1.513
01/02/1767,2.753,1.566
01/03/1767,,
01/04/1767,,
01/05/1767,12.222,1.426
01/06/1767,15.074,1.501
01/07/1767,,
01/08/1767,15.798,1.429
01/09/1767,12.629,1.514
01/10/1767,8.738,1.624
01/11/1767,4.9,1.597
01/12/1767,2.461,1.598
01/01/1768,,
01/02/1768,2.846,1.605
01/03/1768,5.275,1.389
01/04/1768,,
01/05/1768,,
01/06/1768,15.082,1.561
01/07/1768,16.243,1.501
01/08/1768,15.738,1.481
01/09/1768,12.724,1.525
01/10/1768,8.715,1.555
01/11/1768,4.943,1.535
01/12/1768,,
01/01/1769,2.254,1.508
01/02/1769,2.825,1.418
01/03/1769,5.185,1.532
01/04/1769,8.797,1.557
01/05/1769,12.275,1.466
01/06/1769,14.886,1.522
01/07/1769,16.244,1.401
01/08/1769,15.782,1.547
01/09/1769,12.608,1.532
01/10/1769,8.783,1.596
01/11/1769,4.874,1.37
01/12/1769,2.525,1.441
01/01/1770,2.382,1.559
01/02/1770,2.991,1.588
01/03/1770,5.18,1.36
01/04/1770,8.841,1.468
01/05/1770,12.49,1.496
01/06/1770,,
01/07/1770,16.162,1.518
01/08/1770,15.913,1.432
01/09/1770,12.556,1.553
01/10/1770,9.005,1.464
01/11/1770,4.783,1.451
01/12/1770,2.81,1.597
01/01/1771,2.007,1.387
01/02/1771,2.793,1.529
01/03/1771,5.231,1.477
01/04/1771,8.845,1.45
01/05/1771,12.659,1.492
01/06/1771,15.349,1.38
01/07/1771,16.176,1.588
01/08/1771,,
01/09/1771,12.696,1.519
01/10/1771,8.604,1.408
01/11/1771,5.015,1.478
01/12/1771,2.515,1.57
01/01/1772,2.302,1.399
01/02/1772,2.663,1.434
01/03/1772,5.006,1.401
01/04/1772,8.917,1.477
01/05/1772,12.36,1.465
01/06/1772,15.132,1.468
01/07/1772,16.126,1.377
01/08/1772,15.857,1.473
01/09/1772,12.634,1.516
01/10/1772,8.692,1.533
01/11/1772,4.813,1.575
01/12/1772,2.337,1.339
01/01/1773,1.925,1.539
01/02/1773,2.699,1.451
01/03/1773,5.208,1.484
01/04/1773,8.808,1.437
01/05/1773,12.332,1.482
01/06/1773,15.286,1.533
01/07/1773,16.153,1.5
01/08/1773,,
01/09/1773,12.784,1.55
01/10/1773,8.8,1.507
01/11/1773,5.068,1.538
01/12/1773,2.628,1.494
01/01/1774,2.336,1.383
01/02/1774,2.892,1.346
01/03/1774,,
01/04/1774,8.845,1.528
01/05/1774,12.446,1.346
01/06/1774,15.396,1.373
01/07/1774,16.448,1.535
01/08/1774,15.844,1.349
01/09/1774,12.541,1.47
01/10/1774,8.863,1.373
01/11/1774,4.968,1.431
01/12/1774,2.643,1.453
01/01/1775,2.233,1.544
01/02/1775,2.828,1.369
01/03/1775,5.155,1.312
01/04/1775,8.75,1.424
01/05/1775,12.384,1.452
01/06/1775,15.342,1.459
01/07/1775,16.149,1.465
01/08/1775,15.661,1.457
01/09/1775,12.57,1.41
01/10/1775,,
01/11/1775,,
01/12/1775,2.724,1.435
01/01/1776,1.874,1.498
01/02/1776,2.783,1.496
01/03/1776,,
01/04/1776,,
01/05/1776,12.667,1.471
01/06/1776,15.085,1.532
01/07/1776,16.093,1.293
01/08/1776,15.993,1.404
01/09/1776,12.56,1.496
01/10/1776,8.594,1.317
01/11/1776,5.181,1.43
01/12/1776,,
01/01/1777,2.254,1.356
01/02/1777,2.601,1.315
01/03/1777,5.189,1.304
01/04/1777,9.068,1.314
01/05/1777,12.342,1.516
01/06/1777,14.963,1.466
01/07/1777,16.189,1.402
01/08/1777,,
01/09/1777,12.547,1.518
01/10/1777,8.831,1.305
01/11/1777,4.618,1.37
01/12/1777,,
01/01/1778,2.214,1.436
01/02/1778,,
01/03/1778,5.259,1.301
01/04/1778,8.851,1.287
01/05/1778,12.46,1.487
01/06/1778,15.219,1.307
01/07/1778,,
01/08/1778,15.842,1.333
01/09/1778,12.624,1.274
01/10/1778,8.715,1.329
01/11/1778,4.956,1.455
01/12/1778,2.573,1.456
01/01/1779,2.165,1.287
01/02/1779,,
01/03/1779,5.29,1.39
01/04/1779,,
01/05/1779,12.319,1.432
